,id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,profile_url,release_year
176,30,Quake Champions,https://www.mmobomb.com/g/30/thumbnail.jpg,"Experience the new iteration of the world's first competitive online shooter in Quake Champions, a free-to-play title from id Software and Bethesda Softworks. Choose your champion from a diverse range of hardened killers, including old Quake favorites and newer heroes from id's other titles, such as Doom and Wolfenstein.",https://www.mmobomb.com/open/quake-champions,Shooter,PC (Windows),Bethesda Softworks,id Software,2017-08-22,https://www.mmobomb.com/quake-champions,2017
177,354,Gods Origin Online,https://www.mmobomb.com/g/354/thumbnail.jpg,"Gods Origin Online is a 2D free-to-play browser MMORPG where you'll fight alongside the gods themselves in an epic war of faith. Perform various tasks, such as daily quests and storyline quests to advance your character and eventually you'll be able to summon the gods themselves to aid you in battle!",https://www.mmobomb.com/open/gods-origin,MMORPG,Web Browser,VivaGame,VivaGame,2017-08-29,https://www.mmobomb.com/gods-origin,2017
178,61,Black Squad,https://www.mmobomb.com/g/61/thumbnail.jpg,"Black Squad is a free-to-play military first-person shooter with hardcore action and enough game modes to please any FPS fan. Battles range in size from 5v5 skirmishes to 16v16 ""battle mode"" where players can call in air strikes.",https://www.mmobomb.com/open/black-squad,Shooter,PC (Windows),NEOWIZ,NS Studio,2017-07-28,https://www.mmobomb.com/black-squad,2017
179,63,Argo,https://www.mmobomb.com/g/63/thumbnail.jpg,"Argo is a free-to-play shooter from Bohemia Interactive, designed as a concise, team shooter with three distinct play modes and quick matches. Two teams of five square off in tense matches with set objectives, or join a combat patrol and take on the ambushing AI.",https://www.mmobomb.com/open/argo,Shooter,PC (Windows),Bohemia Interactive,Bohemia Interactive,2017-06-22,https://www.mmobomb.com/argo,2017
180,65,Pixel Worlds,https://www.mmobomb.com/g/65/thumbnail.jpg,"Create your own world and enjoy endless customization in Pixel Worlds, a 2-D free-to-play MMORPG from Kukouri Mobile Entertainment that's now on Steam! Gather resources through mining and farming, using what you can to build and trading away what you can't to other players, thanks to an economy that's 100% created by the players.",https://www.mmobomb.com/open/pixel-worlds,MMORPG,PC (Windows),Kukouri Mobile Entertainment ,Kukouri Mobile Entertainment ,2017-06-09,https://www.mmobomb.com/pixel-worlds,2017
181,55,Deceit,https://www.mmobomb.com/g/55/thumbnail.jpg,"Now free-to-play, Deceit is a multiperson FPS that challenges players not only to kill their enemies but figure out who their enemies actually are. You wake up in an asylum, one of six people.",https://www.mmobomb.com/open/deceit,Shooter,PC (Windows),Automaton,Automaton,2017-05-03,https://www.mmobomb.com/deceit,2017
182,66,Gwent: The Witcher Card Game,https://www.mmobomb.com/g/66/thumbnail.jpg,"Based on the popular mini-game in Witcher 3: Wild Hunt, Gwent: The Witcher Card Game is a free-to-play CCG with distinctive strategic elements and multiple modes of play. You start with just 10 cards and have limited ways to get more, so you need to plan carefully.",https://www.mmobomb.com/open/gwent,Card Game,PC (Windows),CD Projekt Red,CD Projekt Red,2017-05-24,https://www.mmobomb.com/gwent,2017
183,67,Awesomenauts,https://www.mmobomb.com/g/67/thumbnail.jpg,"Fight for the future and be totally awesome in Awesomenauts, a 2-D, side-scrolling MOBA that's even better now that it's free-to-play! Play online or local multiplayer in 3v3 matches or death matches.",https://www.mmobomb.com/open/awesomenauts,MOBA,PC (Windows),Ronimo Games,Ronimo Games,2017-05-24,https://www.mmobomb.com/awesomenauts,2017
184,70,Alien Swarm: Reactive Drop,https://www.mmobomb.com/g/70/thumbnail.jpg,"Taking its cues from its predecessor, Alien Swarm: Reactive Drop is a free-to-play action shooter with a top-down view and tons of extra-terrestrial baddies to exterminate. Reactive Drop includes an extensive campaign mode, PvP, and a vast array of deadly weapons to mince and mangle with.",https://www.mmobomb.com/open/alien-swarm-reactive-drop,Shooter,PC (Windows),Reactive Drop,Reactive Drop,2017-04-20,https://www.mmobomb.com/alien-swarm-reactive-drop,2017
185,71,Catan Universe,https://www.mmobomb.com/g/71/thumbnail.jpg,"Explore, build, and trade in Catan Universe, an online free-to-play version of the legendary Settlers of Catan board game! You start with just a pair of small settlements on a randomly generated island.",https://www.mmobomb.com/open/catan-universe,Card Game,PC (Windows),United Soft Media,Exozet,2017-04-25,https://www.mmobomb.com/catan-universe,2017
